effect_id,operation_id,effect_type,service,experiment_id,run_id,timestamp
c4696242-7572-4c82-bb5d-96502f46897e,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVE_INVENTORY,inventory-service,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,2026-09-06T12:46:28.698366+00:00
a6b22b41-1527-49b7-97f3-ed54da9b8610,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVE_INVENTORY,inventory-service,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,2026-09-06T12:46:28.742695+00:00
3ca18403-d23f-43fc-935b-08355de91f49,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVE_INVENTORY,inventory-service,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,2026-09-06T12:46:28.837763+00:00
481c6b27-4c5c-4a29-a6e3-36cd249fb62f,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVE_INVENTORY,inventory-service,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,2026-09-06T12:46:28.923505+00:00
39987b06-4ece-41a6-abbe-33b228c8d393,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVE_INVENTORY,inventory-service,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,2026-09-06T12:46:29.025368+00:00
