failure_scenario,variant,failure_probability,concurrency,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F4,V4,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V4,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V5,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V5,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V5,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V5,0.05,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V5,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V5,0.1,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V5,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V5,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V0,0.01,10,DER,10,0.010280000000000001,0.010450000000000001,0.0008854377448471462,0.0098,0.011,0.0011999999999999997,0.0087,0.0114,0.0097312,0.010828800000000001
F8,V0,0.01,50,DER,10,0.009969999999999998,0.0097,0.0009117138927438929,0.0093,0.0104,0.0011000000000000003,0.0091,0.0119,0.009404913874804122,0.010535086125195874
F8,V0,0.05,10,DER,10,0.04868,0.04825,0.0023948092014002107,0.0472,0.0501,0.0029,0.0454,0.0539,0.0471956818789611,0.0501643181210389
F8,V0,0.05,50,DER,10,0.050519999999999995,0.0505,0.0020394988491184685,0.0486,0.0517,0.0031000000000000055,0.048,0.0547,0.04925590551689273,0.05178409448310726
F8,V0,0.1,10,DER,10,0.10053000000000001,0.10075,0.002246008805760912,0.0995,0.1024,0.0029,0.0965,0.1034,0.09913790931968416,0.10192209068031585
F8,V0,0.1,50,DER,10,0.09892,0.09864999999999999,0.0023155512902498575,0.0969,0.1002,0.0032999999999999974,0.0964,0.1036,0.09748480644123828,0.10035519355876171
F8,V0,0.2,10,DER,10,0.20063,0.2009,0.005868948419909272,0.2005,0.2015,0.0010000000000000009,0.1899,0.2134,0.19699238808251593,0.20426761191748408
F8,V0,0.2,50,DER,10,0.19743999999999998,0.19935,0.004919168854819092,0.197,0.2001,0.0030999999999999917,0.1841,0.2004,0.19439106755586663,0.20048893244413332
F8,V1,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V1,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V1,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
