experiment_id,run_id,seed,variant,downstream_capability,failure_scenario,failure_probability,concurrency,operation_id,attempt_id,service,tool_name,request_hash,measured,event_type,timestamp,duration_ms,result_status,http_status,final_state,replayed,reconciled,downstream_effect_id
CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_1788671087706,7000,V2,C2,F3,0.1,50,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000_ATTEMPT_01,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788671088.7378,13.258,UNKNOWN,200,UNKNOWN,False,False,9a94afff-c3e0-462e-867b-3439ed555daf
CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_1788671087706,7000,V2,C2,F3,0.1,50,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000_ATTEMPT_02,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788671088.75585,6.954,UNKNOWN,200,UNKNOWN,False,False,
CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_1788671087706,7000,V2,C2,F3,0.1,50,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000_ATTEMPT_03,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788671088.7879722,10.943,UNKNOWN,200,UNKNOWN,False,False,
CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_1788671087706,7000,V2,C2,F3,0.1,50,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000_ATTEMPT_04,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788671088.841072,12.176,UNKNOWN,200,UNKNOWN,False,False,
CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_1788671087706,7000,V2,C2,F3,0.1,50,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000_ATTEMPT_05,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788671088.929298,8.012,UNKNOWN,200,UNKNOWN,False,False,
CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_1788671087706,,,,,,,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000_ATTEMPT_01,order-service,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,downstream_execute,1788671088.734206,,OK,,,False,False,9a94afff-c3e0-462e-867b-3439ed555daf
