operation_id,state_before,state_after,attempt_id,reason,timestamp
CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013,,RECEIVED,CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013_ATTEMPT_01,receive,2026-09-06T08:54:55.818553+00:00
CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013,RECEIVED,CLAIMED,CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013_ATTEMPT_01,claim,2026-09-06T08:54:55.818553+00:00
CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013,CLAIMED,EXECUTING,CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013_ATTEMPT_01,begin-execution,2026-09-06T08:54:55.818553+00:00
CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013,UNKNOWN,RECONCILING,CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013_ATTEMPT_03,start-reconciliation,2026-09-06T08:54:56.146301+00:00
CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013,RECONCILING,EFFECT_CONFIRMED,CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013_ATTEMPT_03,effect-confirmed-by-reconciliation,2026-09-06T08:54:56.148568+00:00
CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013,EFFECT_CONFIRMED,COMPLETED,CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013_ATTEMPT_03,reconciled-effect,2026-09-06T08:54:56.148568+00:00
