failure_scenario,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F7,V2,EOER,10,0.9003,0.90025,0.003911521443121591,0.8968,0.9023,0.005499999999999949,0.8949,0.9069,0.8978756138921368,0.9027243861078632
F7,V2,LER,10,0.09969999999999998,0.09975,0.003911521443121589,0.0977,0.1032,0.005500000000000005,0.0931,0.1051,0.09727561389213679,0.10212438610786317
F7,V2,RAF,10,1.3988,1.399,0.01564608577248635,1.3908,1.4128,0.02200000000000002,1.3724,1.4204,1.3891024555685474,1.4084975444314527
F7,V2,DAF,10,0.9003,0.90025,0.003911521443121591,0.8968,0.9023,0.005499999999999949,0.8949,0.9069,0.8978756138921368,0.9027243861078632
F7,V2,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,V2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,V2,P95,10,73.09909999999999,66.239,17.437594185806965,64.253,83.34799999999998,19.094999999999985,53.001999999999995,108.602,62.29116714999155,83.90703285000843
F7,V2,P99,10,111.3278,89.44,46.51283561388668,85.858,111.874,26.01599999999999,80.282,206.464,82.4988458093159,140.1567541906841
F7,V2,throughput,10,853.0042998282419,877.0553718251185,86.69598571614426,826.7225128429839,914.8318191390364,88.10930629605252,677.4616025909655,944.9700506308626,799.2695711723796,906.7390284841041
F7,V3,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,V3,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F7,V3,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,V3,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F7,V3,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F7,V3,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,V3,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,V3,P95,10,46.6726,46.9785,3.751142083863704,45.252,48.43,3.1779999999999973,38.302,53.302,44.34761804886375,48.997581951136254
F7,V3,P99,10,57.102999999999994,57.2625,3.461494860124259,54.934,57.996,3.0620000000000047,51.226,64.642,54.95754325807611,59.24845674192388
F7,V3,throughput,10,1582.0066782350652,1604.2958574235095,64.26805538481169,1512.264935382221,1634.171453693922,121.90651831170112,1465.2255630561315,1655.478916375364,1542.1729248171177,1621.8404316530127
F7,V4,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,V4,EOER,10,0.90047,0.9008,0.003509368414211672,0.8979,0.9032,0.005299999999999971,0.8953,0.9066,0.8982948709218378,0.9026451290781622
F7,V4,LER,10,0.09953000000000001,0.0992,0.0035093684142116894,0.0968,0.1021,0.005299999999999999,0.0934,0.1047,0.09735487092183782,0.10170512907816219
F7,V4,RAF,10,1.39812,1.3968,0.014037473656846787,1.3872,1.4084,0.021200000000000108,1.3736,1.4188,1.3894194836873512,1.4068205163126488
F7,V4,DAF,10,0.90047,0.9008,0.003509368414211672,0.8979,0.9032,0.005299999999999971,0.8953,0.9066,0.8982948709218378,0.9026451290781622
F7,V4,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,V4,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,V4,P95,10,75.57480000000001,69.173,22.915513390617182,65.649,80.61099999999999,14.961999999999989,51.252,121.78299999999999,61.37161765097815,89.77798234902187
F7,V4,P99,10,109.4069,93.643,41.86887701821804,84.634,110.078,25.444000000000003,74.005,192.59300000000002,83.45630116759455,135.35749883240544
F7,V4,throughput,10,852.9652799941545,891.7840674894983,99.27369800609276,840.1252557198789,901.1741056484524,61.04884992857353,660.3619320909331,963.390772129531,791.4348044945484,914.4957554937605
F7,V5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,V5,EOER,10,0.8997400000000001,0.8996999999999999,0.0033556585708984705,0.8987,0.9025,0.0037999999999999146,0.8941,0.9037,0.8976601412697548,0.9018198587302454
F7,V5,LER,10,0.10026000000000002,0.1003,0.0033556585708984805,0.0975,0.1013,0.003799999999999998,0.0963,0.1059,0.09818014126975468,0.10233985873024536
F7,V5,RAF,10,1.40104,1.4012,0.013422634283593941,1.39,1.4052,0.015200000000000102,1.3852,1.4236,1.3927205650790186,1.4093594349209815
F7,V5,DAF,10,0.8997400000000001,0.8996999999999999,0.0033556585708984705,0.8987,0.9025,0.0037999999999999146,0.8941,0.9037,0.8976601412697548,0.9018198587302454
F7,V5,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,V5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,V5,P95,10,67.93050000000001,68.0115,9.924025720442282,61.393,73.857,12.463999999999999,50.166000000000004,85.768,61.779525132400565,74.08147486759945
F7,V5,P99,10,92.9828,94.13550000000001,12.15372866243113,83.571,102.923,19.352000000000004,70.911,110.767,85.449840931157,100.515759068843
F7,V5,throughput,10,877.4531376184126,875.3217631213745,37.720183503827826,845.7485593523948,903.761835292186,58.01327593979124,822.5066695867393,930.7101251792053,854.0739256666177,900.8323495702075
