failure_scenario,variant,downstream_capability,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,V5,C2,RSR,10,0.10179000000000002,0.10164999999999999,0.0029316093418689563,0.0996,0.1028,0.0032000000000000084,0.0976,0.108,0.09997296970489393,0.10360703029510611
F3,V5,C2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,C2,RAF,10,1.1017899999999998,1.10165,0.0029316093418690122,1.0996,1.1028,0.0032000000000000917,1.0976,1.108,1.0999729697048937,1.103607030295106
F3,V5,C2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V2,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V2,C0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V2,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V2,C0,UAR,10,0.09939,0.0985,0.002491964865099204,0.0972,0.1013,0.004100000000000006,0.0969,0.1041,0.09784546417472577,0.10093453582527424
F8,V2,C0,RAF,10,1.39756,1.3940000000000001,0.009967859460396826,1.3888,1.4052,0.01639999999999997,1.3876,1.4164,1.391381856698903,1.403738143301097
F8,V2,C0,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V2,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V2,C1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V2,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V2,C1,UAR,10,0.10101,0.10135,0.0034274869316551254,0.0988,0.1029,0.004100000000000006,0.0946,0.1062,0.09888562159051956,0.10313437840948045
F8,V2,C1,RAF,10,1.40404,1.4054,0.013709947726620519,1.3952,1.4116,0.01639999999999997,1.3784,1.4248,1.3955424863620782,1.4125375136379217
F8,V2,C1,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V2,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V2,C2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V2,C2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V2,C2,UAR,10,0.09991,0.0988,0.0025800301462493716,0.0985,0.1012,0.002699999999999994,0.0963,0.1055,0.09831088074796711,0.10150911925203289
F8,V2,C2,RAF,10,1.39964,1.3952,0.010320120584997485,1.394,1.4048,0.010800000000000143,1.3852,1.422,1.3932435229918685,1.4060364770081315
F8,V2,C2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V3,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V3,C1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V3,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V3,C1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V3,C1,RAF,10,1.3994799999999998,1.3994,0.008982056186271245,1.3948,1.4028,0.008000000000000007,1.3832,1.4188,1.3939128638984362,1.4050471361015635
F8,V3,C1,DAF,10,1.3994799999999998,1.3994,0.008982056186271245,1.3948,1.4028,0.008000000000000007,1.3832,1.4188,1.3939128638984362,1.4050471361015635
F8,V3,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V3,C2,EOER,10,0.9999399999999999,1.0,0.00018973665961011696,1.0,1.0,0.0,0.9994,1.0,0.9998223999999999,1.0000575999999999
F8,V3,C2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V3,C2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V3,C2,RAF,10,1.40562,1.4043999999999999,0.0162213713627698,1.3952,1.4076,0.012399999999999967,1.3868,1.4462,1.3955658898655547,1.4156741101344454
F8,V3,C2,DAF,10,1.39768,1.4007999999999998,0.013325064102409896,1.3928,1.4076,0.014799999999999924,1.3668,1.4116,1.389421039703853,1.4059389602961472
F8,V4,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,C0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,C0,UAR,10,0.10022,0.1001,0.003800526279346061,0.0975,0.1032,0.005699999999999997,0.0953,0.1062,0.09786440940738846,0.10257559059261155
F8,V4,C0,RAF,10,1.4008800000000001,1.4004,0.01520210511738428,1.39,1.4128,0.022800000000000153,1.3812,1.4248,1.391457637629554,1.4103023623704463
F8,V4,C0,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,C1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,C1,UAR,10,0.10045,0.10045,0.0022638462845343548,0.0983,0.1017,0.0034000000000000002,0.0969,0.1047,0.09904685353579891,0.10185314646420109
F8,V4,C1,RAF,10,1.4018000000000002,1.4018000000000002,0.00905538513813745,1.3932,1.4068,0.013600000000000056,1.3876,1.4188,1.3961874141431958,1.4074125858568045
F8,V4,C1,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,C2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,C2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,C2,UAR,10,0.09922,0.09920000000000001,0.002152930818932905,0.0972,0.1013,0.004100000000000006,0.0966,0.1021,0.09788559965361049,0.10055440034638952
F8,V4,C2,RAF,10,1.39688,1.3968,0.00861172327573161,1.3888,1.4052,0.01639999999999997,1.3864,1.4084,1.391542398614442,1.4022176013855578
F8,V4,C2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V5,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V5,C0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V5,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
