failure_scenario,failure_probability,concurrency,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,0.01,50,V2,RAF,10,1.0402,1.0406,0.0037535168694024785,1.0372,1.0432,0.006000000000000005,1.0348,1.046,1.0378735461415374,1.0425264538584627
F3,0.01,50,V2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.01,50,V2,P95,10,46.529199999999996,49.402,6.830772199718305,43.799,50.593,6.794000000000004,33.173,53.402,42.295443527541785,50.76295647245821
F3,0.01,50,V2,throughput,10,1287.465363689173,1299.3989887641596,77.73308349935797,1256.6754546676702,1310.5479905762368,53.87253590856653,1150.8598802610775,1447.3246517631787,1239.2858993815926,1335.6448279967535
F3,0.01,50,V3,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,50,V3,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.01,50,V3,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,50,V3,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,50,V3,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,50,V3,RAF,10,1.0398400000000003,1.039,0.003161996556326728,1.038,1.0424,0.0043999999999999595,1.0344,1.0448,1.0378801742299664,1.0417998257700343
F3,0.01,50,V3,DAF,10,1.0398400000000003,1.039,0.003161996556326728,1.038,1.0424,0.0043999999999999595,1.0344,1.0448,1.0378801742299664,1.0417998257700343
F3,0.01,50,V3,P95,10,38.7567,42.201499999999996,9.506143207304305,37.257,42.671,5.4140000000000015,13.526,46.456,32.86473139743133,44.64866860256868
F3,0.01,50,V3,throughput,10,1538.3103998182974,1541.1248046798846,70.7519801187774,1510.45311569596,1555.3666308965687,44.9135152006088,1434.8650142694407,1704.338527477785,1494.457868214409,1582.1629314221857
F3,0.01,50,V4,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,50,V4,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.01,50,V4,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,50,V4,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,50,V4,UAR,10,0.01021,0.01,0.0010038260141412292,0.0097,0.0101,0.0003999999999999993,0.0092,0.0128,0.009587822190473924,0.010832177809526077
F3,0.01,50,V4,RAF,10,1.04084,1.04,0.0040153040565648855,1.0388,1.0404,0.0016000000000000458,1.0368,1.0512,1.0383512887618958,1.0433287112381042
F3,0.01,50,V4,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.01,50,V4,P95,10,48.6814,48.611999999999995,5.99654111782599,45.141,51.604,6.463000000000001,40.726,61.252,44.964705309024275,52.39809469097572
F3,0.01,50,V4,throughput,10,1276.29645886116,1270.6882584317061,91.94840078997687,1246.2797057495504,1305.7675907753242,59.48788502577372,1077.4225061461163,1447.7820716404813,1219.306249614715,1333.2866681076052
F3,0.01,50,V5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,50,V5,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.01,50,V5,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,50,V5,RSR,10,0.010409999999999999,0.0105,0.0014137813755237326,0.0098,0.0113,0.0014999999999999996,0.0078,0.0124,0.009533729225004558,0.01128627077499544
F3,0.01,50,V5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.01,50,V5,RAF,10,1.0104099999999998,1.0105,0.0014137813755237304,1.0098,1.0113,0.0015000000000000568,1.0078,1.0124,1.0095337292250044,1.0112862707749952
F3,0.01,50,V5,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.01,50,V5,P95,10,48.4672,52.69,12.415623086346582,42.302,55.116,12.814,18.908,62.682,40.77191708548718,56.162482914512815
F3,0.01,50,V5,throughput,10,1317.3458038757321,1337.390845068404,82.529409513564,1242.4819221467014,1362.6406542670156,120.1587321203142,1167.4124269644265,1457.1698504018184,1266.1935459054525,1368.4980618460118
F3,0.05,10,V0,DER,10,0.049960000000000004,0.04935,0.002297921766389022,0.0486,0.0526,0.0040000000000000036,0.0471,0.0533,0.04853573333333334,0.05138426666666667
F3,0.05,10,V0,EOER,10,0.9500400000000001,0.95065,0.0022979217663890257,0.9474,0.9514,0.0040000000000000036,0.9467,0.9529,0.9486157333333335,0.9514642666666667
F3,0.05,10,V0,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V0,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V0,RAF,10,1.19984,1.1974,0.009191687065556118,1.1944,1.2104,0.016000000000000014,1.1884,1.2132,1.1941429333333333,1.2055370666666667
F3,0.05,10,V0,DAF,10,1.19984,1.1974,0.009191687065556118,1.1944,1.2104,0.016000000000000014,1.1884,1.2132,1.1941429333333333,1.2055370666666667
F3,0.05,10,V0,P95,10,16.7582,16.320500000000003,7.092913408622878,10.007,22.906,12.899,9.032,28.442,12.36196672295101,21.154433277048987
F3,0.05,10,V0,throughput,10,427.79712991066145,425.13390947015563,24.086434496978868,414.74534123399235,442.525313773233,27.779972539240646,381.4414067980009,466.2594162512823,412.868203140972,442.7260566803509
F3,0.05,10,V1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.05,10,V1,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V1,RAF,10,1.19796,1.1974,0.009428938905777737,1.1944,1.2028,0.008400000000000185,1.1832,1.214,1.1921158831192766,1.2038041168807232
F3,0.05,10,V1,DAF,10,1.19796,1.1974,0.009428938905777737,1.1944,1.2028,0.008400000000000185,1.1832,1.214,1.1921158831192766,1.2038041168807232
F3,0.05,10,V1,P95,10,15.918299999999999,15.7225,5.741068329733296,9.616,21.288999999999998,11.672999999999998,8.515,23.113,12.359948983575304,19.476651016424693
F3,0.05,10,V1,throughput,10,435.11492092773096,431.02440369693255,21.610474416683505,415.3867224117368,443.47099360637094,28.08427119463414,412.4200955878014,476.50101197435004,421.7206101149213,448.5092317405406
F3,0.05,10,V2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.05,10,V2,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V2,UAR,10,0.051500000000000004,0.051199999999999996,0.00200554786086551,0.0502,0.0531,0.0029,0.0488,0.0553,0.05025694855742456,0.05274305144257545
F3,0.05,10,V2,RAF,10,1.206,1.2048,0.008022191443462029,1.2008,1.2124,0.011599999999999833,1.1952,1.2212,1.2010277942296983,1.2109722057703016
F3,0.05,10,V2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.05,10,V2,P95,10,16.1212,16.4165,2.518614160384415,15.915,17.478,1.5630000000000024,11.516,20.455000000000002,14.560146770382396,17.682253229617608
F3,0.05,10,V2,throughput,10,406.6648505450497,408.74593266719,17.271816214481994,393.9804784892716,420.6967308154931,26.71625232622148,374.1087153556198,432.3600004284115,395.959667946194,417.37003314390546
F3,0.05,10,V3,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V3,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.05,10,V3,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V3,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V3,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V3,RAF,10,1.19892,1.2004000000000001,0.010312538215417425,1.1888,1.208,0.019199999999999884,1.182,1.2108,1.1925282225932234,1.2053117774067765
F3,0.05,10,V3,DAF,10,1.19892,1.2004000000000001,0.010312538215417425,1.1888,1.208,0.019199999999999884,1.182,1.2108,1.1925282225932234,1.2053117774067765
F3,0.05,10,V3,P95,10,17.441800000000004,19.69,5.9237203925311075,12.58,22.581000000000003,10.001000000000003,8.887,23.127000000000002,13.770240062172547,21.11335993782746
F3,0.05,10,V3,throughput,10,428.3272489377188,421.6691272508948,19.850190124638324,416.0553259117776,432.22805015674913,16.172724244971562,405.2682601231698,468.0466017877303,416.02397363259604,440.6305242428416
F3,0.05,10,V4,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V4,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.05,10,V4,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V4,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V4,UAR,10,0.050530000000000005,0.0509,0.002160272616541203,0.0491,0.0523,0.0032000000000000015,0.0463,0.0533,0.0491910491603083,0.05186895083969171
F3,0.05,10,V4,RAF,10,1.2021199999999999,1.2036,0.008641090466164843,1.1964,1.2092,0.012800000000000145,1.1852,1.2132,1.196764196641233,1.2074758033587667
F3,0.05,10,V4,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.05,10,V4,P95,10,16.029200000000003,16.942,2.713370998919569,14.392,17.514000000000003,3.1220000000000034,11.655,20.538,14.34743523124811,17.710964768751897
F3,0.05,10,V4,throughput,10,406.4845582544803,407.56589647839417,18.353331692991354,390.41729968746074,417.93738972456526,27.520090037104524,375.21913257735406,438.03325168723524,395.10904541720856,417.86007109175205
F3,0.05,10,V5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V5,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.05,10,V5,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V5,RSR,10,0.049120000000000004,0.0487,0.002548550786449254,0.0479,0.0516,0.003700000000000002,0.0444,0.0522,0.04754039185731257,0.05069960814268744
F3,0.05,10,V5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,10,V5,RAF,10,1.0491199999999998,1.0487,0.002548550786449267,1.0479,1.0516,0.0037000000000000366,1.0444,1.0522,1.0475403918573123,1.0506996081426874
F3,0.05,10,V5,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,0.05,10,V5,P95,10,15.6363,14.6035,2.965017783345583,13.965,15.391,1.4260000000000002,12.562,22.058,13.798562938337962,17.474037061662038
F3,0.05,10,V5,throughput,10,940.4709869522125,949.4585278082104,101.43163310765196,924.5263176526387,990.4751019478995,65.9487842952608,755.1956358689695,1118.5146817612358,877.6030094197107,1003.3389644847142
F3,0.05,50,V0,DER,10,0.04938,0.0493,0.002195348618227992,0.0472,0.0513,0.0040999999999999995,0.0469,0.0527,0.04801930882922604,0.05074069117077396
F3,0.05,50,V0,EOER,10,0.9506199999999998,0.9507,0.0021953486182279794,0.9487,0.9528,0.0040999999999999925,0.9473,0.9531,0.9492593088292258,0.9519806911707738
F3,0.05,50,V0,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,50,V0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,50,V0,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.05,50,V0,RAF,10,1.19752,1.1972,0.008781394472911984,1.1888,1.2052,0.01639999999999997,1.1876,1.2108,1.192077235316904,1.2029627646830958
