failure_scenario,variant,duplicate_fanout,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F6,V0,2,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V0,2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V0,2,P95,10,36.787299999999995,36.1105,2.8994053815682035,35.24,36.809,1.5689999999999955,33.589,44.184,34.990229926282595,38.584370073717395
F6,V0,2,P99,10,191.01960000000003,46.3165,455.6319222884484,45.388999999999996,50.397999999999996,5.009,42.171,1487.7440000000001,-91.38399122601766,473.4231912260177
F6,V0,2,throughput,10,393.9823918693642,395.9615758372021,17.590366684839726,390.1800274957444,402.62537257186455,12.445345076120134,361.17596709179696,416.4513279192693,383.079769643443,404.88501409528544
F6,V0,5,DER,10,0.9995799999999999,1.0,0.0013281566172707135,1.0,1.0,0.0,0.9958,1.0,0.9987567999999999,1.0004031999999998
F6,V0,5,RAF,10,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0
F6,V0,5,DAF,10,4.99784,5.0,0.00683051974596379,5.0,5.0,0.0,4.9784,5.0,4.9936064,5.0020736
F6,V0,5,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V0,5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V0,5,P95,10,102.4949,96.44,14.914990181022581,95.49600000000001,100.377,4.880999999999986,90.219,141.024,93.25049331078863,111.73930668921138
F6,V0,5,P99,10,1300.4024,130.7335,3118.3399242204064,125.14099999999999,144.111,18.97,115.339,10026.059,-632.364709117976,3233.169509117976
F6,V0,5,throughput,10,157.76849205521225,159.76770737138935,9.615046818835044,148.66798127983978,165.20949442378213,16.541513143942353,144.68640070969985,171.84754937958394,151.80902429490394,163.72795981552056
F6,V1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V1,10,RAF,10,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
F6,V1,10,DAF,10,9.39284,9.394200000000001,0.04113363587138899,9.3721,9.4168,0.04470000000000063,9.3216,9.4739,9.367345108351671,9.418334891648328
F6,V1,10,RRR,10,0.9325377777777778,0.9326888888888889,0.004570403985709856,0.9302333333333334,0.9352,0.004966666666666675,0.9246222222222222,0.9415444444444444,0.9297050120390746,0.935370543516481
F6,V1,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V1,10,P95,10,188.1475,188.59000000000003,3.1797423463055834,184.902,190.43,5.52800000000002,184.254,193.67000000000002,186.17667527538455,190.11832472461546
F6,V1,10,P99,10,278.59610000000004,268.05100000000004,25.08041235905024,258.172,300.88700000000006,42.71500000000003,250.14899999999997,318.02699999999993,263.05109936867626,294.1411006313238
F6,V1,10,throughput,10,79.63861974291255,78.38352045224221,8.192476424170783,76.36379086107978,84.31844983342484,7.954658972345058,65.55717609464253,97.02898606043908,74.56087024810071,84.7163692377244
F6,V1,2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V1,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F6,V1,2,DAF,10,1.64308,1.64245,0.007685021506512217,1.6365,1.6468,0.010299999999999976,1.6331,1.6574,1.6383167743217204,1.6478432256782798
F6,V1,2,RRR,10,0.6430800000000001,0.64245,0.007685021506512236,0.6365,0.6468,0.010300000000000087,0.6331,0.6574,0.6383167743217205,0.6478432256782797
F6,V1,2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V1,2,P95,10,35.9291,35.1255,2.971761858636127,33.9,37.748000000000005,3.848000000000006,32.93,42.83,34.08718291716652,37.771017082833474
F6,V1,2,P99,10,48.5706,48.084,4.708466752091975,45.840999999999994,48.795,2.9540000000000077,42.772000000000006,60.561,45.65226207213794,51.48893792786206
F6,V1,2,throughput,10,349.87068808153174,346.0475469298302,36.54769161339167,324.3018514909555,357.9422804350112,33.64042894405566,294.0242088323476,411.54539598561365,327.2181941324604,372.5231820306031
F6,V1,5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V1,5,RAF,10,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0
F6,V1,5,DAF,10,4.335100000000001,4.33275,0.02117844816474203,4.3253,4.3384,0.013099999999999667,4.3,4.38,4.321973461832354,4.348226538167647
F6,V1,5,RRR,10,0.8337749999999999,0.8331875,0.005294612041185515,0.831325,0.8346,0.003275000000000028,0.825,0.845,0.8304933654580885,0.8370566345419114
F6,V1,5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V1,5,P95,10,92.01629999999999,92.8795,3.5869372899762553,91.74,94.31,2.5700000000000074,82.37,94.64800000000001,89.79309323453869,94.23950676546129
F6,V1,5,P99,10,133.3936,135.6365,10.198838824973057,120.427,141.671,21.243999999999986,118.66,145.681,127.07229420552943,139.71490579447055
F6,V1,5,throughput,10,154.27978924152174,149.67020848320925,18.57430353497179,145.4937961002219,163.15151589836353,17.657719798141613,124.20459849860198,193.71310296107396,142.7673166376435,165.7922618454
F6,V2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V2,10,RAF,10,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
F6,V2,10,DAF,10,0.9981300000000001,1.0,0.005604373292349478,1.0,1.0,0.0,0.9822,1.0,0.9946563734455184,1.0016036265544817
F6,V2,10,RRR,10,0.7766222222222223,0.7811888888888889,0.024065603638048407,0.7748222222222222,0.7899111111111111,0.01508888888888893,0.7189,0.8084111111111111,0.7617062065526611,0.7915382378917836
F6,V2,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V2,10,P95,10,1874.4159,176.7395,5354.633407832561,175.42899999999997,182.662,7.2330000000000325,173.74599999999998,17113.931,-1444.420270380116,5193.2520703801165
F6,V2,10,P99,10,3782.2129,244.02050000000003,7528.944605639054,239.892,284.11,44.21800000000002,227.643,20129.066999999995,-884.2753128872914,8448.701112887291
F6,V2,10,throughput,10,79.92664452014635,80.19208415803661,6.1907237217553215,78.14387912273708,83.3096670782589,5.165787955521822,65.4337256554378,88.3998824885252,76.08959420433241,83.7636948359603
F6,V2,2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V2,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F6,V2,2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F6,V2,2,RRR,10,0.25341,0.2531,0.008018928994711341,0.2508,0.2591,0.008299999999999974,0.2401,0.2686,0.2484398163163834,0.25838018368361665
F6,V2,2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V2,2,P95,10,45.171499999999995,40.491,16.352033629898557,39.212,41.253,2.040999999999997,36.684,91.48400000000001,35.036404553354544,55.306595446645446
F6,V2,2,P99,10,171.0392,54.004999999999995,373.9806812252918,50.251000000000005,57.057,6.805999999999997,44.436,1235.347,-60.75642770036529,402.8348277003653
F6,V2,2,throughput,10,325.95853548388635,346.7320640823576,118.47910887579482,336.617713098821,390.04219134148076,53.424478242659745,0.9272194723739509,427.2399141177594,252.52442300174806,399.39264796602464
F6,V2,5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V2,5,RAF,10,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0
F6,V2,5,DAF,10,0.99946,1.0,0.0011539304812489956,1.0,1.0,0.0,0.9969,1.0,0.9987447864778808,1.0001752135221194
F6,V2,5,RRR,10,0.5350625,0.536525,0.014592369819342036,0.5203,0.545025,0.024724999999999997,0.518,0.5636,0.5260180554826304,0.5441069445173696
F6,V2,5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V2,5,P95,10,103.55850000000001,95.905,21.606863422173156,93.57300000000001,102.333,8.759999999999991,90.697,163.522,90.16642730477551,116.95057269522451
F6,V2,5,P99,10,1569.1866000000002,137.64249999999998,3105.6855774847027,126.24300000000001,176.331,50.08799999999998,120.55,8848.550000000001,-355.73726375265323,3494.1104637526537
F6,V2,5,throughput,10,150.74064219519684,149.80496005145216,13.836966278151303,144.7889349365722,165.05896237139748,20.270027434825295,121.08800245147036,166.65140993661274,142.16440164340023,159.31688274699346
F6,V3,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V3,10,RAF,10,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
F6,V3,10,DAF,10,9.385100000000001,9.3844,0.026338438323737633,9.3626,9.4019,0.039299999999999,9.3481,9.4402,9.368775266797485,9.401424733202518
F6,V3,10,RRR,10,0.9316777777777778,0.9316,0.0029264931470819556,0.9291777777777778,0.9335444444444444,0.00436666666666663,0.9275666666666667,0.9378,0.9298639185330538,0.9334916370225018
F6,V3,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V3,10,P95,10,188.579,187.9645,4.508948312953804,184.54000000000002,191.29000000000002,6.75,182.02999999999997,197.046,185.7843248819021,191.3736751180979
F6,V3,10,P99,10,290.36340000000007,285.2235,19.7213058965847,281.23499999999996,307.145,25.910000000000025,252.711,320.025,278.1400079670412,302.58679203295895
F6,V3,10,throughput,10,81.13628387033086,80.62602950836053,7.076174151576478,77.78288223656527,83.56124118991612,5.778358953350846,68.69302202754794,95.4800159149143,76.75042569228857,85.52214204837314
F6,V3,2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
