group,workload,failure_scenario,variant,downstream_capability,failure_probability,concurrency,duplicate_fanout,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
group_a_baseline,create_order,F0,V0,C0,0.0,100,,P95,10,110.88580000000002,91.432,39.254153874462766,85.249,161.757,76.50800000000001,77.732,173.973,86.55582336225899,135.21577663774104
group_a_baseline,create_order,F0,V0,C0,0.0,100,,P99,10,138.462,111.98949999999999,49.47248380890353,107.504,204.413,96.909,99.499,217.865,107.79863685298024,169.12536314701973
group_a_baseline,create_order,F0,V0,C0,0.0,100,,throughput,10,1535.7826683645378,1703.9641096280352,334.29295941495104,1178.2092702505772,1726.0622517627892,547.852981512212,899.5985837646922,1858.698706525434,1328.5857454926809,1742.9795912363948
group_a_baseline,create_order,F0,V0,C0,0.0,50,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,50,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V0,C0,0.0,50,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,50,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,50,,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V0,C0,0.0,50,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V0,C0,0.0,50,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,50,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,50,,P50,10,24.8389,26.4585,10.426922582643666,21.601,28.469,6.868000000000002,8.727,45.214,18.37622642790975,31.30157357209025
group_a_baseline,create_order,F0,V0,C0,0.0,50,,P95,10,47.1133,45.969,15.707527205133212,44.287,46.466,2.179000000000002,27.411,87.482,37.37767377405316,56.84892622594685
group_a_baseline,create_order,F0,V0,C0,0.0,50,,P99,10,60.1946,57.634,18.50265185918554,56.538,60.888,4.350000000000001,39.354,108.639,48.72653756487763,71.66266243512237
group_a_baseline,create_order,F0,V0,C0,0.0,50,,throughput,10,1616.9510603532178,1665.7227752906883,213.22427793308012,1625.4847616229238,1711.7065056456918,86.22174402276801,1028.7711017999711,1767.7073805832472,1484.7932836934085,1749.1088370130271
group_a_baseline,create_order,F0,V1,C1,0.0,1,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
