failure,variant,concurrency,probability,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,V0,50,0.05,EOER,10,0.9506199999999998,0.9507,0.0021953486182279794,0.9487,0.9528,0.0040999999999999925,0.9473,0.9531,0.9492593088292258,0.9519806911707738
F3,V0,50,0.05,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.05,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.05,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.05,RAF,10,1.19752,1.1972,0.008781394472911984,1.1888,1.2052,0.01639999999999997,1.1876,1.2108,1.192077235316904,1.2029627646830958
F3,V0,50,0.05,DAF,10,1.19752,1.1972,0.008781394472911984,1.1888,1.2052,0.01639999999999997,1.1876,1.2108,1.192077235316904,1.2029627646830958
F3,V0,50,0.1,DER,10,0.09956,0.09914999999999999,0.0019895281405957078,0.0983,0.1012,0.0029,0.0964,0.103,0.0983268776829167,0.10079312231708329
F3,V0,50,0.1,EOER,10,0.90044,0.90085,0.001989528140595691,0.8988,0.9017,0.0028999999999999027,0.897,0.9036,0.8992068776829167,0.9016731223170833
F3,V0,50,0.1,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.1,RAF,10,1.3982400000000001,1.3966,0.007958112562382843,1.3932,1.4048,0.011600000000000055,1.3856,1.412,1.393307510731667,1.4031724892683333
F3,V0,50,0.1,DAF,10,1.3982400000000001,1.3966,0.007958112562382843,1.3932,1.4048,0.011600000000000055,1.3856,1.412,1.393307510731667,1.4031724892683333
F3,V0,50,0.2,DER,10,0.19939,0.1989,0.0035174011871140173,0.1966,0.2023,0.005700000000000011,0.195,0.2054,0.19720989215761137,0.20157010784238866
F3,V0,50,0.2,EOER,10,0.80061,0.8010999999999999,0.0035174011871140346,0.7977,0.8034,0.005700000000000038,0.7946,0.805,0.7984298921576114,0.8027901078423887
F3,V0,50,0.2,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.2,RAF,10,1.79756,1.7956,0.014069604748456109,1.7864,1.8092,0.02279999999999993,1.78,1.8216,1.7888395686304455,1.8062804313695546
F3,V0,50,0.2,DAF,10,1.79756,1.7956,0.014069604748456109,1.7864,1.8092,0.02279999999999993,1.78,1.8216,1.7888395686304455,1.8062804313695546
F3,V1,10,0.01,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.01,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V1,10,0.01,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.01,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.01,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.01,RAF,10,1.03908,1.0394,0.004549187961725827,1.0372,1.0428,0.005600000000000049,1.0304,1.0448,1.0362603840891986,1.0418996159108014
F3,V1,10,0.01,DAF,10,1.03908,1.0394,0.004549187961725827,1.0372,1.0428,0.005600000000000049,1.0304,1.0448,1.0362603840891986,1.0418996159108014
F3,V1,10,0.05,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.05,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V1,10,0.05,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.05,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.05,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.05,RAF,10,1.19796,1.1974,0.009428938905777737,1.1944,1.2028,0.008400000000000185,1.1832,1.214,1.1921158831192766,1.2038041168807232
F3,V1,10,0.05,DAF,10,1.19796,1.1974,0.009428938905777737,1.1944,1.2028,0.008400000000000185,1.1832,1.214,1.1921158831192766,1.2038041168807232
F3,V1,10,0.1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V1,10,0.1,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.1,RAF,10,1.40328,1.4052,0.013305036640310327,1.396,1.414,0.018000000000000016,1.3756,1.4216,1.3950334528534665,1.4115265471465337
F3,V1,10,0.1,DAF,10,1.40328,1.4052,0.013305036640310327,1.396,1.414,0.018000000000000016,1.3756,1.4216,1.3950334528534665,1.4115265471465337
F3,V1,10,0.2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V1,10,0.2,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.2,RAF,10,1.8030000000000002,1.8052000000000001,0.017977022371164064,1.7988,1.8112,0.012399999999999967,1.77,1.8364,1.791857726096827,1.8141422739031734
F3,V1,10,0.2,DAF,10,1.8030000000000002,1.8052000000000001,0.017977022371164064,1.7988,1.8112,0.012399999999999967,1.77,1.8364,1.791857726096827,1.8141422739031734
F3,V1,50,0.01,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.01,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V1,50,0.01,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.01,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.01,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.01,RAF,10,1.03976,1.0394,0.004031873013873332,1.0364,1.0416,0.0052000000000000934,1.0356,1.0476,1.03726101921576,1.04225898078424
F3,V1,50,0.01,DAF,10,1.03976,1.0394,0.004031873013873332,1.0364,1.0416,0.0052000000000000934,1.0356,1.0476,1.03726101921576,1.04225898078424
F3,V1,50,0.05,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.05,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V1,50,0.05,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.05,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.05,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.05,RAF,10,1.20032,1.1987999999999999,0.00991125062183825,1.1952,1.208,0.012799999999999923,1.1832,1.2188,1.1941769432205493,1.2064630567794508
F3,V1,50,0.05,DAF,10,1.20032,1.1987999999999999,0.00991125062183825,1.1952,1.208,0.012799999999999923,1.1832,1.2188,1.1941769432205493,1.2064630567794508
F3,V1,50,0.1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V1,50,0.1,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.1,RAF,10,1.4016000000000002,1.3954,0.014346815364780857,1.3904,1.4148,0.024399999999999977,1.3872,1.4244,1.3927077517103692,1.4104922482896312
F3,V1,50,0.1,DAF,10,1.4016000000000002,1.3954,0.014346815364780857,1.3904,1.4148,0.024399999999999977,1.3872,1.4244,1.3927077517103692,1.4104922482896312
F3,V1,50,0.2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V1,50,0.2,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,50,0.2,RAF,10,1.7863599999999997,1.7882,0.018888632678000953,1.7792,1.8012,0.02200000000000002,1.7444,1.8116,1.774652704174841,1.7980672958251585
F3,V1,50,0.2,DAF,10,1.7863599999999997,1.7882,0.018888632678000953,1.7792,1.8012,0.02200000000000002,1.7444,1.8116,1.774652704174841,1.7980672958251585
F3,V2,10,0.01,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
