operation_id,state_before,state_after,attempt_id,reason,timestamp
CREATEORDER_V2_C0_F3_P10_C50_CAP_S7000_OP_00001000,,RECEIVED,CREATEORDER_V2_C0_F3_P10_C50_CAP_S7000_OP_00001000_ATTEMPT_01,receive,2026-09-06T05:03:49.934820+00:00
CREATEORDER_V2_C0_F3_P10_C50_CAP_S7000_OP_00001000,RECEIVED,CLAIMED,CREATEORDER_V2_C0_F3_P10_C50_CAP_S7000_OP_00001000_ATTEMPT_01,claim,2026-09-06T05:03:49.934820+00:00
CREATEORDER_V2_C0_F3_P10_C50_CAP_S7000_OP_00001000,CLAIMED,EXECUTING,CREATEORDER_V2_C0_F3_P10_C50_CAP_S7000_OP_00001000_ATTEMPT_01,begin-execution,2026-09-06T05:03:49.934820+00:00
CREATEORDER_V2_C0_F3_P10_C50_CAP_S7000_OP_00001000,EXECUTING,UNKNOWN,CREATEORDER_V2_C0_F3_P10_C50_CAP_S7000_OP_00001000_ATTEMPT_01,ambiguous-after-downstream-dispatch,2026-09-06T05:03:49.947927+00:00
