experiment_id,group,workload,variant,downstream_capability,failure_scenario,failure_probability,concurrency,duplicate_fanout,retry_fanout,seed,operations,warmup_operations,DER,EOER,LER,RSR,RAF,DAF,RRR,UAR,P50,P95,P99,throughput,selected_for_fault,reached_fault_hook,fault_injected,logical_operations,total_attempts,total_downstream_calls,total_effects,duplicate_operations,exactly_once_operations,zero_effect_operations,unknown_operations,reconciled_operations,replayed_operations,run_dir,final_validation_status
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7000,group_f_generalization,charge_payment,V0,C0,F8,0.1,50,,,7000,10000,1000,0.0914,0.9086,0.0,0.0,1.3656,1.3656,0.0,0.0,8.387,37.659,51.24,1204.988820760849,977,10000,9086,10000,13656,13656,13656,914,9086,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7000/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7000_1788684809803,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7001,group_f_generalization,charge_payment,V0,C0,F8,0.1,50,,,7001,10000,1000,0.0986,0.9014,0.0,0.0,1.3944,1.3944,0.0,0.0,11.746,56.552,75.27099999999999,1021.1937366746494,975,10000,9014,10000,13944,13944,13944,986,9014,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7001/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7001_1788684917131,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7002,group_f_generalization,charge_payment,V0,C0,F8,0.1,50,,,7002,10000,1000,0.1036,0.8964,0.0,0.0,1.4144,1.4144,0.0,0.0,9.999,48.704,69.886,1031.6873553691585,979,10000,8964,10000,14144,14144,14144,1036,8964,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7002/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7002_1788685050148,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7003,group_f_generalization,charge_payment,V0,C0,F8,0.1,50,,,7003,10000,1000,0.0994,0.9006,0.0,0.0,1.3976,1.3976,0.0,0.0,8.781,40.520999999999994,57.251,1111.7726306135446,982,10000,9006,10000,13976,13976,13976,994,9006,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7003/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7003_1788685184757,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7004,group_f_generalization,charge_payment,V0,C0,F8,0.1,50,,,7004,10000,1000,0.1019,0.8981,0.0,0.0,1.4076,1.4076,0.0,0.0,11.765,56.014,78.328,997.0324152298618,965,10000,8981,10000,14076,14076,14076,1019,8981,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7004/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7004_1788685316006,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7005,group_f_generalization,charge_payment,V0,C0,F8,0.1,50,,,7005,10000,1000,0.0975,0.9025,0.0,0.0,1.39,1.39,0.0,0.0,8.002,37.373,51.702,1154.1049630538453,990,10000,9025,10000,13900,13900,13900,975,9025,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7005/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7005_1788685449833,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7006,group_f_generalization,charge_payment,V0,C0,F8,0.1,50,,,7006,10000,1000,0.0997,0.9003,0.0,0.0,1.3988,1.3988,0.0,0.0,11.844,57.898999999999994,77.755,1007.9464351585839,1000,10000,9003,10000,13988,13988,13988,997,9003,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7006/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7006_1788685557582,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7007,group_f_generalization,charge_payment,V0,C0,F8,0.1,50,,,7007,10000,1000,0.1028,0.8972,0.0,0.0,1.4112,1.4112,0.0,0.0,10.891,52.426,71.319,1020.573007532811,985,10000,8972,10000,14112,14112,14112,1028,8972,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7007/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7007_1788685691543,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7008,group_f_generalization,charge_payment,V0,C0,F8,0.1,50,,,7008,10000,1000,0.0979,0.9021,0.0,0.0,1.3916,1.3916,0.0,0.0,9.486,44.565,61.894,1098.6434622603902,1020,10000,9021,10000,13916,13916,13916,979,9021,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7008/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7008_1788685826620,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7009,group_f_generalization,charge_payment,V0,C0,F8,0.1,50,,,7009,10000,1000,0.0971,0.9029,0.0,0.0,1.3884,1.3884,0.0,0.0,12.415,58.678,78.92999999999999,1007.0862616113865,1027,10000,9029,10000,13884,13884,13884,971,9029,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7009/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7009_1788685952128,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7000,group_f_generalization,charge_payment,V2,C1,F3,0.1,50,,,7000,10000,1000,0.0,1.0,0.0,0.0,1.4116,1.0,0.0,0.1029,13.194,42.232,62.428,991.8570512661648,1020,10000,10000,10000,14116,10000,10000,0,10000,0,1029,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7000/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7000_1788684819874,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7001,group_f_generalization,charge_payment,V2,C1,F3,0.1,50,,,7001,10000,1000,0.0,1.0,0.0,0.0,1.4108,1.0,0.0,0.1027,19.469,69.207,132.799,820.3238917976157,1043,10000,10000,10000,14108,10000,10000,0,10000,0,1027,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7001/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7001_1788684949639,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7002,group_f_generalization,charge_payment,V2,C1,F3,0.1,50,,,7002,10000,1000,0.0,1.0,0.0,0.0,1.3836,1.0,0.0,0.0959,16.169,56.178,73.61200000000001,963.0715024169758,958,10000,10000,10000,13836,10000,10000,0,10000,0,959,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7002/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7002_1788685061724,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7003,group_f_generalization,charge_payment,V2,C1,F3,0.1,50,,,7003,10000,1000,0.0,1.0,0.0,0.0,1.3752,1.0,0.0,0.0938,15.403,52.157,72.638,991.0538706484896,943,10000,10000,10000,13752,10000,10000,0,10000,0,938,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7003/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7003_1788685195734,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7004,group_f_generalization,charge_payment,V2,C1,F3,0.1,50,,,7004,10000,1000,0.0,1.0,0.0,0.0,1.3924,1.0,0.0,0.0981,16.416,57.423,78.81200000000001,941.9337463887297,994,10000,10000,10000,13924,10000,10000,0,10000,0,981,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7004/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7004_1788685327919,PASS
