experiment_id,run_dir,DER_delta,EOER_delta,LER_delta,RSR_delta,RAF_delta,DAF_delta,RRR_delta,UAR_delta,P50_delta,P95_delta,P99_delta,throughput_recomputed_from_event_span,throughput_summary,logical_operations_delta,PASS_FAIL
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7003,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7003/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7003_1788685184757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.7726306135446,959.5794445709734,0,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7004,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7004/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7004_1788685316006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.0324152298618,880.7866681831171,0,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7005,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7005/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7005_1788685449833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.1049630538453,993.3586919063168,0,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7006,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7006/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7006_1788685557582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.9464351585839,890.5411847356422,0,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7007,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7007/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7007_1788685691543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.573007532811,909.673417512872,0,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7008,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7008/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7008_1788685826620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1098.6434622603902,955.8777262561423,0,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7009,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7009/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7009_1788685952128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0862616113865,886.9858493081779,0,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7000,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7000/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7000_1788684819874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.8570512661648,843.0866538201419,0,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7001,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7001/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7001_1788684949639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.3238917976157,654.5097202863474,0,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7002,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7002/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7002_1788685061724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.0715024169758,836.0300857327176,0,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7003,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7003/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7003_1788685195734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.0538706484896,869.0903163273969,0,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7004,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7004/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7004_1788685327919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.9337463887297,820.9912521834015,0,PASS
