experiment_id,metric,observed_value,group_distribution_context,possible_infrastructure_note
CREATEORDER_V0_C0_F0_P0_C1_S7000,P95,10.738,"('group_a_baseline', 'F0', 'V0', 1);Q1=6.807;Q3=8.022;IQR=1.2149999999999999",
CREATEORDER_V0_C0_F0_P0_C1_S7000,P99,11.663,"('group_a_baseline', 'F0', 'V0', 1);Q1=8.111;Q3=9.362;IQR=1.2509999999999994",
CREATEORDER_V0_C0_F0_P0_C1_S7002,throughput,70.55058559377592,"('group_a_baseline', 'F0', 'V0', 1);Q1=129.68291483133476;Q3=163.93695782411436;IQR=34.2540429927796",
CREATEORDER_V0_C0_F0_P0_C1_S7003,throughput,8.875954091013924,"('group_a_baseline', 'F0', 'V0', 1);Q1=129.68291483133476;Q3=163.93695782411436;IQR=34.2540429927796",
CREATEORDER_V0_C0_F0_P0_C50_S7003,P95,87.482,"('group_a_baseline', 'F0', 'V0', 50);Q1=44.287;Q3=46.466;IQR=2.179000000000002",
CREATEORDER_V0_C0_F0_P0_C50_S7004,P95,27.411,"('group_a_baseline', 'F0', 'V0', 50);Q1=44.287;Q3=46.466;IQR=2.179000000000002",
CREATEORDER_V0_C0_F0_P0_C50_S7006,P95,33.598,"('group_a_baseline', 'F0', 'V0', 50);Q1=44.287;Q3=46.466;IQR=2.179000000000002",
CREATEORDER_V0_C0_F0_P0_C50_S7003,P99,108.639,"('group_a_baseline', 'F0', 'V0', 50);Q1=56.538;Q3=60.888;IQR=4.350000000000001",
CREATEORDER_V0_C0_F0_P0_C50_S7004,P99,39.354,"('group_a_baseline', 'F0', 'V0', 50);Q1=56.538;Q3=60.888;IQR=4.350000000000001",
CREATEORDER_V0_C0_F0_P0_C50_S7006,P99,44.078,"('group_a_baseline', 'F0', 'V0', 50);Q1=56.538;Q3=60.888;IQR=4.350000000000001",
CREATEORDER_V0_C0_F0_P0_C50_S7003,throughput,1028.7711017999711,"('group_a_baseline', 'F0', 'V0', 50);Q1=1625.4847616229238;Q3=1711.7065056456918;IQR=86.22174402276801",
CREATEORDER_V0_C0_F1_P10_C50_S7000,P95,83.204,"('group_e_safe_controls', 'F1', 'V0', 50);Q1=43.498;Q3=48.655;IQR=5.157000000000004",
CREATEORDER_V0_C0_F1_P10_C50_S7005,P95,85.96,"('group_e_safe_controls', 'F1', 'V0', 50);Q1=43.498;Q3=48.655;IQR=5.157000000000004",
CREATEORDER_V0_C0_F1_P10_C50_S7008,P95,31.293,"('group_e_safe_controls', 'F1', 'V0', 50);Q1=43.498;Q3=48.655;IQR=5.157000000000004",
CREATEORDER_V0_C0_F1_P10_C50_S7000,P99,106.095,"('group_e_safe_controls', 'F1', 'V0', 50);Q1=51.727;Q3=60.078;IQR=8.351000000000006",
CREATEORDER_V0_C0_F1_P10_C50_S7005,P99,107.844,"('group_e_safe_controls', 'F1', 'V0', 50);Q1=51.727;Q3=60.078;IQR=8.351000000000006",
CREATEORDER_V0_C0_F1_P10_C50_S7000,throughput,1227.7622890785403,"('group_e_safe_controls', 'F1', 'V0', 50);Q1=1651.876863198985;Q3=1844.1157997920793;IQR=192.23893659309442",
CREATEORDER_V0_C0_F1_P10_C50_S7005,throughput,1114.0667480012796,"('group_e_safe_controls', 'F1', 'V0', 50);Q1=1651.876863198985;Q3=1844.1157997920793;IQR=192.23893659309442",
CREATEORDER_V0_C0_F2_P10_C50_S7002,P95,12.819,"('group_e_safe_controls', 'F2', 'V0', 50);Q1=41.488;Q3=50.056;IQR=8.567999999999998",
CREATEORDER_V0_C0_F2_P10_C50_S7003,P95,87.716,"('group_e_safe_controls', 'F2', 'V0', 50);Q1=41.488;Q3=50.056;IQR=8.567999999999998",
CREATEORDER_V0_C0_F2_P10_C50_S7008,P95,90.564,"('group_e_safe_controls', 'F2', 'V0', 50);Q1=41.488;Q3=50.056;IQR=8.567999999999998",
CREATEORDER_V0_C0_F2_P10_C50_S7002,P99,26.625,"('group_e_safe_controls', 'F2', 'V0', 50);Q1=51.188;Q3=60.629;IQR=9.440999999999995",
CREATEORDER_V0_C0_F2_P10_C50_S7003,P99,108.838,"('group_e_safe_controls', 'F2', 'V0', 50);Q1=51.188;Q3=60.629;IQR=9.440999999999995",
CREATEORDER_V0_C0_F2_P10_C50_S7008,P99,112.347,"('group_e_safe_controls', 'F2', 'V0', 50);Q1=51.188;Q3=60.629;IQR=9.440999999999995",
CREATEORDER_V0_C0_F2_P10_C50_S7003,throughput,1044.644298370331,"('group_e_safe_controls', 'F2', 'V0', 50);Q1=1506.8735434207338;Q3=1644.8296132577618;IQR=137.95606983702805",
CREATEORDER_V0_C0_F2_P10_C50_S7008,throughput,990.8240843041832,"('group_e_safe_controls', 'F2', 'V0', 50);Q1=1506.8735434207338;Q3=1644.8296132577618;IQR=137.95606983702805",
CREATEORDER_V0_C0_F3_P1_C10_S7008,P99,13.651,"('group_b_ambiguous', 'F3', 'V0', 10);Q1=28.227;Q3=37.199;IQR=8.971999999999998",
CREATEORDER_V0_C0_F3_P20_C10_S7000,P99,53.61300000000001,"('group_b_ambiguous', 'F3', 'V0', 10);Q1=28.227;Q3=37.199;IQR=8.971999999999998",
CREATEORDER_V0_C0_F3_P5_C50_S7002,P95,76.196,"('group_b_ambiguous', 'F3', 'V0', 50);Q1=33.444;Q3=45.715;IQR=12.271",
CREATEORDER_V0_C0_F3_P5_C50_S7002,P99,137.005,"('group_b_ambiguous', 'F3', 'V0', 50);Q1=44.748999999999995;Q3=76.425;IQR=31.676000000000002",
CREATEORDER_V0_C0_F4_P10_C10_S7003,P95,13.895,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=8.978;Q3=10.933;IQR=1.955",
CREATEORDER_V0_C0_F4_P10_C10_S7008,P95,15.504,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=8.978;Q3=10.933;IQR=1.955",
CREATEORDER_V0_C0_F4_P1_C10_S7001,P95,15.397,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=8.978;Q3=10.933;IQR=1.955",
